"","date","Country","diabetes_prevalence","aged_70_older","total_deaths"
"1",2020-06-30,"Afghanistan",9.59,1.337,733
"2",2020-06-30,"Albania",10.08,8.643,58
"3",2020-06-30,"Algeria",6.73,3.857,905
"4",2020-06-30,"Andorra",7.97,NA,52
"5",2020-06-30,"Angola",3.94,1.362,11
"6",2020-06-30,"Anguilla",NA,NA,0
"7",2020-06-30,"Antigua and Barbuda",13.17,4.631,3
"8",2020-06-30,"Argentina",5.5,7.441,1280
"9",2020-06-30,"Armenia",7.11,7.571,443
"10",2020-06-30,"Aruba",11.62,7.452,3
"11",2020-06-30,"Australia",5.07,10.129,104
"12",2020-06-30,"Austria",6.35,13.748,703
"13",2020-06-30,"Azerbaijan",7.11,3.871,206
"14",2020-06-30,"Bahamas",13.17,5.2,11
"15",2020-06-30,"Bahrain",16.52,1.387,84
"16",2020-06-30,"Bangladesh",8.38,3.262,1783
"17",2020-06-30,"Barbados",13.57,9.473,7
"18",2020-06-30,"Belarus",5.18,9.788,387
"19",2020-06-30,"Belgium",4.29,12.849,9762
"20",2020-06-30,"Belize",17.11,2.279,2
"21",2020-06-30,"Benin",0.99,1.942,19
"22",2020-06-30,"Bermuda",13,NA,9
"23",2020-06-30,"Bhutan",9.75,2.977,0
"24",2020-06-30,"Bolivia",6.89,4.393,1071
"25",2020-06-30,"Bonaire Sint Eustatius and Saba",NA,NA,0
"26",2020-06-30,"Bosnia and Herzegovina",10.08,10.711,183
"27",2020-06-30,"Botswana",4.81,2.242,1
"28",2020-06-30,"Brazil",8.11,5.06,58314
"29",2020-06-30,"British Virgin Islands",13.67,NA,1
"30",2020-06-30,"Brunei",12.79,2.382,3
"31",2020-06-30,"Bulgaria",5.81,13.272,223
"32",2020-06-30,"Burkina Faso",2.42,1.358,53
"33",2020-06-30,"Burundi",6.05,1.504,1
"34",2020-06-30,"Cambodia",4,2.385,0
"35",2020-06-30,"Cameroon",7.2,1.919,313
"36",2020-06-30,"Canada",7.37,10.797,8566
"37",2020-06-30,"Cape Verde",2.42,3.437,12
"38",2020-06-30,"Cayman Islands",13.22,NA,1
"39",2020-06-30,"Central African Republic",6.1,2.251,47
"40",2020-06-30,"Chad",6.1,1.446,74
"41",2020-06-30,"Chile",8.46,6.938,5575
"42",2020-06-30,"China",9.74,5.929,4641
"43",2020-06-30,"Colombia",7.44,4.312,3223
"44",2020-06-30,"Comoros",11.88,1.726,7
"45",2020-06-30,"Congo",7.2,2.063,40
"46",2020-06-30,"Costa Rica",8.78,5.694,15
"47",2020-06-30,"Cote d'Ivoire",2.42,1.582,66
"48",2020-06-30,"Croatia",5.59,13.053,107
"49",2020-06-30,"Cuba",8.27,9.719,86
"50",2020-06-30,"Curacao",11.62,10.068,1
"51",2020-06-30,"Cyprus",9.24,8.563,19
"52",2020-06-30,"Czech Republic",6.82,11.58,348
